id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
6	'an old manuscript	1.5268	-0.4377	15	10	10	1	2008
9	'baader-meinhof'	0.0268	-0.9781	20	5	6	2	2011.5
13	'ein altes blatt'	1.5457	-0.4265	15	10	10	1	2008
17	'gimpel the fool'	1.5629	-0.4607	15	10	10	1	2008
18	'gimpl tam'	1.5458	-0.475	15	10	10	1	2008
20	'in der strafkolonie'	0.8914	-0.2273	15	7	7	1	2012
21	'in the penal colony'	0.8789	-0.2457	15	7	7	1	2012
22	'in the ruins of the future'	0.0675	-1.0027	20	4	6	2	2009.5
28	'of the coming of john'	0.2911	0.5447	19	7	7	1	2020
30	'on the dump'	-0.5677	0.5994	7	10	10	1	2013
34	'self-reliance'	0.9193	-0.5191	5	6	6	1	2019
43	'the magnet'	-0.5566	0.5809	7	10	10	1	2013
49	'the tumblers'	1.5625	-0.4395	15	10	10	1	2008
64	1800-1999	-0.0539	0.4436	3	15	23	7	2004.2857
66	1900-2099	0.2541	0.1437	1	13	15	7	2016.1429
69	1980s	0.2699	-0.8757	8	7	7	2	2009
82	advertising	0.9286	-0.5038	5	6	6	1	2019
83	aerial warfare	-0.8381	0.4483	3	6	6	2	2015
86	aesthetics	0.0035	-0.3748	16	8	11	5	2012.4
87	afghanistan war (2001-2021)	-0.957	0.281	3	7	9	3	2017
88	africa	0.4405	-0.6174	4	8	10	4	2011
90	african american experience	-0.0963	-0.2441	9	14	17	4	2013.5
92	african american feminist women writers	-1.1456	-0.2922	6	12	12	1	2018
93	african american folk song	-0.4198	1.2547	24	9	9	1	2006
94	african american homosexual men novelists	-1.0068	0.3615	25	3	4	2	2016
95	african american identity	-0.2532	1.1107	24	13	16	4	2002.25
96	african american men	0.74	0.5607	10	10	14	4	2003.5
97	african american novelists	-0.5611	-0.4262	18	41	63	16	2013.375
99	african american women novelists	-0.0077	0.1494	22	16	18	3	2014.3333
100	african american women writers	0.1612	0.3054	1	6	8	3	2007.6667
101	african american writers	0.2195	0.5155	12	24	34	10	2005.9
103	african americans	-0.3258	1.1447	24	12	14	3	2005.6667
105	african diaspora	0.3066	0.7563	12	9	10	2	2004
106	african immigrants	-1.0715	0.7216	3	8	8	1	2020
107	african literature	0.0906	0.7564	12	13	17	4	2004.25
108	afrikaans language literature	-0.1406	-0.1654	9	6	9	3	2000
110	afro-caribbean experience	0.5416	-0.604	5	18	19	3	2012.3333
113	agency	-0.1189	0.2884	22	17	21	4	2012.25
119	alternative history	0.8966	-0.0971	10	6	7	2	2012
121	american culture	0.6717	-0.5506	5	7	8	2	2006
125	american literature	0.0667	-0.0181	1	391	1001	369	2009.5718
134	animal-human relations	0.4309	0.0694	17	28	42	14	2015.3571
135	animals	0.356	-0.4115	4	7	8	5	2014
136	anthropocentrism	0.5419	0.0606	17	7	7	2	2016
137	anthropomorphism	-0.1422	0.7548	2	7	7	2	2013
142	antisemitism	1.0389	0.0764	10	8	11	4	2008.5
144	apartheid	-0.0769	-0.0276	9	23	30	7	2007.5714
146	appalachian culture	-1.1114	-0.2901	6	12	12	1	2018
162	asian american writers	0.5125	0.269	1	3	5	4	2010
166	authenticity	0.8508	0.3616	12	10	12	4	2008.5
168	autobiographical discourse	0.6212	0.2623	17	7	9	3	2010
169	autobiographical novel	-0.7225	-0.2867	16	16	20	4	2016.25
170	autobiography	0.4838	-0.5963	5	25	34	13	2005.9231
182	biafra	-0.6315	-0.8273	11	10	10	1	2020
185	biography	0.158	-0.2402	8	5	5	2	2007
187	biracial identity	0.683	0.5847	12	4	5	2	2010.5
191	black identity	0.3771	-0.6281	8	10	14	4	2011.25
192	black nationalism	0.6513	0.6061	12	5	6	2	2006
195	black-white relations	-0.429	0.2671	24	54	71	12	2015.9167
205	border crossing	0.3603	0.1469	1	6	6	2	2010
207	boredom	0.0799	-0.4297	8	6	8	3	2006
210	british and irish literatures	0.1529	-0.1301	12	13	22	9	2007.3333
212	british empire	-0.371	-0.442	16	33	42	10	2015
215	british identity	-0.1136	0.4979	19	6	6	2	2012.5
216	british imperialism	-0.4863	0.028	11	6	7	3	2005.3333
223	canadian literature	0.2424	0.0905	5	32	35	13	2007.4615
224	canon	0.6794	0.2953	17	6	6	2	2004
225	capitalism	-0.0812	-0.5123	11	49	78	21	2012.9524
226	care	-0.8232	-0.7389	18	7	7	2	2016
231	catholicism	1.124	-0.5021	15	7	8	3	2003.3333
232	characterization	0.0989	0.8245	2	5	5	3	2014.3333
238	children	0.9784	0.0978	10	5	6	2	2014.5
242	chinatown (san francisco)	0.1379	-0.502	5	6	7	2	2007.5
247	chinese american novelists	-0.0653	-0.7101	16	6	7	2	2015.5
252	chinese literature	-0.5495	0.2566	25	13	13	8	2015.5
256	christianity	0.9734	0.0258	10	8	10	3	2009.3333
258	citizenship	-0.617	0.0302	3	22	29	6	2013.5
264	climate change	-0.8563	-0.6772	18	14	16	3	2017
265	cloning	-0.0791	-0.1001	2	9	12	4	2014.75
266	coal mining	-1.1322	-0.2658	6	12	12	1	2018
267	cognitive approach	0.2974	0.9332	2	8	8	4	2016.5
269	cold war	-0.2926	-0.7331	14	13	15	5	2013.2
272	collective memory	0.0854	-0.2654	9	13	16	4	2013.5
273	colonial discourse	-0.8515	0.3983	3	6	8	3	2011
275	colonialism	0.2243	-0.0736	5	37	47	12	2010.25
277	comic book	0.6851	0.7606	13	16	23	5	2009.4
284	commodification	0.4118	-0.6832	4	6	7	2	2003
287	communication technology	-0.0626	0.7118	13	5	5	2	2015.5
288	community	-0.2335	0.3334	2	15	20	5	2012.2
289	complicity	0.5164	-0.5102	5	8	8	2	2002.5
293	confession	-0.0378	-0.2353	9	5	6	2	2010.5
294	consciousness	0.5377	0.1267	17	7	7	2	2013
296	consumerism	-0.1297	0.9463	19	4	5	2	2016.5
298	contraception	-0.5482	0.6345	7	13	14	2	2012
300	corruption	-1.0624	-0.7773	18	9	10	2	2010
301	cosmopolitanism	-0.3218	0.0295	22	21	24	5	2010.6
304	counterterrorism	-0.9316	0.4159	3	8	8	2	2017
314	crime	0.2753	-0.6712	4	10	15	5	2011
316	crime novel	0.2279	-0.9631	8	9	10	3	2011
317	criminality	-0.5773	-0.1388	1	5	6	2	2010
318	criticism	-0.7598	0.4546	3	11	15	6	2008
319	cross-cultural relations	-0.21	-0.3079	7	12	12	3	2017.6667
320	cuban literature	0.1302	0.1563	4	6	6	3	2006
323	cultural assimilation	1.0313	0.5103	10	5	5	2	2005
328	cultural identity	-0.3993	-0.2192	20	8	8	2	2011.5
331	cultural politics	0.7348	0.3061	4	8	8	2	2004
335	cyborg	0.8267	0.6516	10	7	8	2	2012
337	daily life	0.0846	-0.462	8	12	14	4	2009.75
341	death	-0.0365	0.7694	2	12	15	7	2012.1429
343	decadent movement	-0.2125	0.0166	9	7	8	2	2016
348	deportation	-1.095	0.7415	3	8	8	1	2020
355	detective novel	0.3597	-0.712	4	14	20	6	2007.1667
357	diaspora	-0.0281	-0.734	16	17	20	5	2010.2
361	disability	-0.019	0.3505	1	43	62	15	2017.6667
369	dog	0.403	0.0201	17	14	18	4	2015.5
371	domesticity	-0.5111	0.1555	3	18	20	5	2012.2
373	doubling	0.6622	-0.2908	4	3	4	2	2000
374	drama	0.4531	0.4374	19	25	32	8	2006.125
388	ecocritical approach	-0.3943	-0.5789	14	44	91	23	2014.6522
390	ecology	-0.1581	-0.5606	14	12	14	3	2009
397	emotions	0.0208	0.9671	2	5	6	2	2011.5
402	england	-0.8448	-0.3051	16	7	10	2	2015.5
403	english caribbean literature	0.1821	0.8305	12	7	8	2	2002
407	english literature	0.0523	0.0302	8	221	421	169	2010.1479
408	english-irish relations	0.5819	-0.3222	4	6	8	3	2007
410	environmental crisis	-0.97	-0.4391	6	41	60	11	2018.8182
411	environmental movement	-0.2206	-0.7217	6	9	12	3	2011.6667
415	espionage	-0.0765	-1.0546	20	10	11	2	2014.5
416	ethics	0.557	-0.3675	15	42	58	17	2008.6471
417	ethnic identity	0.2451	-0.4206	17	19	25	9	2008.8889
419	ethnography	-0.4569	0.7698	21	15	20	4	2004.75
421	eugenics	-0.3964	0.4899	7	12	12	2	2012.5
426	evolutionary theory	0.7698	0.1735	10	10	10	2	2015
444	fashion	-0.1004	0.8934	19	8	9	3	2012.3333
445	father	0.5056	-0.024	8	6	6	2	2005.5
446	father-son relations	-1.0654	-0.8445	18	10	11	2	2014.5
450	female body	-0.2625	0.2992	7	21	25	8	2007.75
455	female sexuality	-0.4669	0.6125	7	17	23	3	2013
458	female-male relations	-0.2164	-0.356	6	27	33	7	2013.2857
459	femininity	0.1054	0.3603	19	22	29	6	2012
460	feminism	-0.014	0.4626	12	19	22	5	2007.4
461	feminist approach	-0.2187	0.1574	7	37	50	9	2008.1111
463	feminist women novelists	-0.5726	-0.7219	11	15	16	3	2017.6667
467	filipino american novelists	-0.6438	0.0187	3	12	13	2	2017.5
470	film adaptation	0.0886	0.1271	23	17	23	6	2007.6667
472	filth	0.536	-0.0917	8	7	8	2	2010.5
479	folk belief systems	-0.5829	0.8952	21	9	9	1	2005
480	folk literature	-0.4006	1.2662	24	9	9	1	2006
482	folk poetry	-0.3924	1.2348	24	9	9	1	2006
483	folk song	-0.3823	1.2543	24	9	9	1	2006
490	france	-0.2622	0.4382	22	8	9	2	2012.5
491	french caribbean literature	0.1667	0.8228	12	7	8	2	2002
493	french language literature	0.1257	0.4643	13	25	33	8	2006.125
494	french literature	0.525	0.1603	4	51	68	21	2007.8095
502	gender	0.3697	0.3255	17	22	27	10	2006.2
504	genocide	-0.0811	-0.2937	1	8	8	2	2020
505	genre conventions	0.6112	-0.014	5	39	51	11	2004.3636
510	german literature	0.8975	-0.1449	15	34	39	11	2012
513	ghost dance	-0.5603	0.9095	21	9	9	1	2005
514	globalization	-0.2006	-0.5107	11	43	60	15	2009.4
515	gossip	-0.0382	0.5374	2	11	11	2	2012.5
516	gothic conventions	0.73	-0.212	4	21	28	10	2002.4
519	gothicism	-1.4419	-0.1829	6	8	8	1	2020
522	graphic memoir	0.5353	0.9636	13	5	6	2	2012.5
523	graphic novel	0.622	0.6738	13	20	30	7	2008.4286
534	harlem renaissance	0.8002	0.5936	10	11	17	5	2003
539	hindu-muslim relations	-0.0229	-1.0963	20	9	9	1	2014
545	historical novel	-0.4377	0.3305	25	10	12	5	2014.6
546	history	0.1249	0.4004	7	11	14	8	2001.875
550	home	0.6559	0.0352	1	10	11	4	2017.75
553	homosexual identity	-0.6336	0.3187	6	8	8	2	2002
555	homosexuality	0.4422	0.1281	1	16	20	7	2003.4286
561	human body	-0.0131	0.228	2	29	37	12	2009.5833
562	human identity	-0.0062	-0.2774	14	13	14	3	2010
563	human rights	0.3413	-0.7768	4	6	6	2	2010
569	hybridity	0.9645	0.5454	10	7	8	2	2004
570	hydraulic fracturing	-1.4622	-0.1841	6	8	8	1	2020
571	identity	0.5212	0.3011	1	9	14	8	2004.125
574	imagery	0.3246	0.6377	13	26	40	8	2006.375
575	immigrant experience	-0.5083	-0.2802	16	33	44	10	2017.4
576	immigrant novelists	-1.0517	0.6131	3	12	12	2	2018.5
579	immigration	0.2032	-0.0027	1	7	7	2	2019
580	immigration law	-1.1038	0.7228	3	8	8	1	2020
581	imperialism	0.2514	0.3716	13	21	24	8	2008.25
584	india	-0.4144	-0.1302	7	9	9	2	2017
585	indian american novelists	0.0189	-1.0545	20	11	13	2	2016.5
587	indian literature	-0.2359	-0.4191	14	44	67	18	2010.8889
591	indians (india)	-0.2986	-0.5824	23	6	6	1	2018
592	individualism	-0.9454	0.3473	25	4	4	2	2016
596	infidelity	-0.2427	0.6443	19	7	8	2	2011.5
598	infrastructure	-0.6756	-0.4561	11	10	11	5	2015
604	internment camps	-0.2273	0.8036	21	10	14	4	2009.5
605	intertextuality	0.6735	-0.4199	5	42	49	9	2009.4444
609	iranian literature	0.5463	0.7933	13	12	16	2	2006
610	iraq	-0.6559	-0.8299	11	10	10	1	2020
611	iraq war (2003)	-0.702	-0.0925	3	13	19	7	2017
612	iraqi literature	-0.6489	-0.8545	11	10	10	1	2020
613	irish civil war	0.5534	-0.2519	4	6	6	1	2014
614	irish literature	0.2201	0.2206	4	68	95	38	2008.2368
615	irony	0.3957	-0.278	9	5	5	2	2009.5
616	islam	-0.1834	-0.2218	20	9	11	5	2008.8
619	italian literature	0.7249	0.0684	17	10	10	2	2008
620	jamaican literature	0.7323	-0.635	5	9	9	2	2013.5
621	japan	0.0017	-0.8444	16	5	6	3	2020
622	japanese american experience	-0.3485	0.841	21	7	9	2	2011
631	jewish american identity	0.98	-0.0357	10	6	7	2	2012
632	jewish american novelists	0.4142	-0.2348	7	8	11	4	2013
633	jewish history	0.7373	-0.6669	5	8	8	1	2014
