id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
57	aesthetics	-0.7447	0.649	3	6	12	10	2010.5
86	american literature	-0.109	0.1231	3	29	212	391	2009.2046
163	canadian literature	0.2831	0.509	1	12	19	18	2009.5
276	drama	-0.8414	0.1061	2	10	23	16	2008.625
300	english literature	0.0183	-0.214	1	24	72	93	2010.4946
312	ethics	0.0088	0.4101	1	11	27	16	2012.75
313	ethnic identity	-0.3734	-0.0609	3	7	18	13	2010.1538
370	genre conventions	0.1624	-0.3869	1	9	16	12	2010.25
373	german literature	0.3917	-0.5665	1	7	12	10	2011.3
379	globalization	0.2052	0.2795	5	11	20	13	2011.5385
449	indian literature	0.5015	-0.334	1	12	21	13	2012.4615
468	irish literature	-0.6209	-0.0321	2	16	28	28	2008.5357
498	language poetry	-0.0428	0.8847	3	7	15	10	2009.6
552	memory	-0.5237	-0.9134	2	9	19	10	2008.3
575	modernism	0.6822	-0.517	4	7	14	13	2008.4615
612	national identity	-0.7186	-0.4198	2	9	20	12	2011.1667
702	poetics	0.7034	0.6134	4	7	30	23	2009.6087
720	politics	-0.2971	0.6445	3	9	14	11	2009.9091
732	postcolonialism	0.3823	-0.1805	1	16	23	12	2011.8333
735	postmodernism	-1.0529	-0.1307	2	7	22	16	2007.375
775	racism	-0.4547	1.0779	3	5	15	11	2017.0909
779	reader	0.7454	-0.0555	1	10	20	12	2010.6667
796	representation	-0.0255	-0.9728	4	6	12	10	2006.3
840	september 11 terrorist attacks (2001)	-0.5209	0.4551	5	5	15	10	2013.7
848	short story	0.6509	0.2571	1	11	24	15	2008.7333
880	south african literature	0.3307	0.0163	1	12	25	23	2009.7391
906	subjectivity	0.9278	-0.2284	1	8	19	14	2009.5
942	the past	-0.1626	-0.5609	1	13	20	10	2010
968	trauma	-0.6167	-0.7472	2	9	22	14	2010.5
981	united states	1.111	0.2946	6	6	13	10	2011.5
