id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
2	'at the auction of the ruby slippers'	-1.3129	-0.0697	20	8	8	1	2000
3	'august blue'	1.0851	-1.3453	7	6	6	1	2002
8	'der erzähler'	-0.3788	0.5241	18	6	6	1	2007
10	'fifty-seven views of fujiyama'	1.0706	-1.3447	7	6	6	1	2002
14	'la faustienne'	-1.1333	-0.4398	6	7	7	1	2009
18	"'please, thank you'"	-0.4727	-0.7425	9	7	7	1	2015
23	'the balloon'	-1.3298	-0.0627	20	8	8	1	2000
25	'the death mask of pancho villa'	-0.4888	-0.755	9	7	7	1	2015
27	'the rejection of closure'	-1.147	-0.4508	6	7	7	1	2009
31	'thorow'	0.3929	0.0667	4	6	8	2	2010
33	'what he saw'	-1.3147	-0.0358	20	8	8	1	2000
34	(periodical)	0.8102	0.3041	8	9	10	2	2009
35	1100-1499 middle english period	-0.718	-0.1867	6	8	8	1	2018
37	1600-1699	1.0906	-1.3321	7	6	6	1	2002
40	1800-1999	0.3916	-0.0458	4	11	14	6	2003
44	1970s	0.5215	0.126	5	8	9	2	2012
51	accident	-0.4004	0.4547	18	9	9	2	2011
52	acquired immune deficiency syndrome	-0.3636	-0.3679	3	4	5	3	2009
53	activism	-0.2437	-0.2807	3	13	14	3	2009.3333
54	adolescent soldiers	1.3632	-0.3548	10	7	7	1	2019
57	aesthetics	0.3081	0.2042	14	25	31	10	2010.5
59	african american community	0.7609	0.0467	5	8	9	2	2006
60	african american experience	0.1396	0.9737	11	12	15	4	2005.75
61	african american identity	0.366	1.1244	26	9	10	2	2009.5
63	african american novelists	0.3387	0.5286	14	15	20	4	2013.5
64	african american poets	0.071	0.1835	14	16	20	4	2013.25
67	african american women poets	-0.0141	0.1039	16	12	17	5	2017
68	african american writers	-0.5615	0.4691	12	10	15	5	2012.4
69	african american-jewish relations	-0.278	0.6372	12	5	6	2	2004
72	african literature	-0.7544	-0.0621	6	11	11	3	2012
76	afrocentrism	-0.0113	-0.1043	13	5	6	2	2004
82	allusion	-0.4793	0.0344	19	17	20	6	2011
84	alternative history	-0.9215	0.5255	1	7	7	1	2018
86	american literature	0.0434	-0.0468	13	400	943	391	2009.2046
90	american western novel	0.0853	-0.2724	16	10	11	3	2007.3333
93	anagram	0.1319	1.0369	11	7	7	1	2003
96	animal-human relations	-0.0505	-0.3551	16	12	17	6	2018
97	animals	0.5179	0.2697	8	5	5	2	2007
99	anticolonialism	-0.8284	-0.1152	6	14	14	2	2017.5
100	antiracism	0.041	-0.5026	7	7	7	1	2016
101	apartheid	0.1244	0.3317	17	11	13	3	2012
103	appalachian culture	-0.5814	0.5391	12	6	6	1	2020
104	appropriation	-0.3022	-0.1261	6	4	5	2	2011.5
105	archives	0.0374	0.0859	17	9	10	3	2010.3333
106	art	-0.3996	0.1092	1	8	8	2	2006.5
111	asian american identity	-0.3316	0.3354	18	9	10	3	2009
112	asian american poets	0.5671	0.6969	25	3	5	2	2008
114	asian american writers	-0.325	0.3824	18	4	5	2	2006
